Reference area,TIME_PERIOD,OBS_VALUE
Norway,1990,310
Norway,1989,296
Norway,1988,293
Norway,1987,283
Norway,1986,270
Norway,1985,260
Norway,2022,609
Norway,2021,604
Norway,2020,593
Norway,2019,593
Norway,2018,588
Norway,2017,583
Norway,2016,578
Norway,2015,569
Norway,2014,562
Norway,2013,555
Norway,2012,545
Norway,2011,536
Norway,1976,185
Norway,1975,169
Norway,1974,154
Norway,2008,504
Norway,2007,489
Norway,2006,478
Norway,2005,462
Norway,2004,457
Norway,2003,445
Norway,2002,442
Norway,2001,431
Norway,2000,415
Norway,1999,407
Norway,1998,397
Norway,1997,387
Norway,1996,377
Norway,1995,366
Norway,1994,353
Norway,1993,346
Norway,1992,335
Norway,1991,323
Norway,1971,123
Norway,1970,113
Norway,1984,256
Norway,1983,254
Norway,1982,250
Norway,1981,251
Norway,1980,241
Norway,1979,228
Norway,1978,215
Norway,1977,200
Norway,2010,523
Norway,2009,515
Norway,1973,144
Norway,1972,135
Slovak Republic,2001,140.567
Slovak Republic,2000,138.907
Slovak Republic,1999,136.719
Slovak Republic,2023,149.115
Slovak Republic,2022,148.159
Slovak Republic,2021,143.36
Slovak Republic,2020,142.112
Slovak Republic,2019,140.037
Slovak Republic,2018,136.421
Slovak Republic,2017,136.647
Slovak Republic,2016,134.583
Slovak Republic,2015,130.858
Slovak Republic,2014,128.973
Slovak Republic,2013,123.989
Slovak Republic,2012,124.625
Slovak Republic,1996,129.09
Slovak Republic,1995,132.345
Slovak Republic,2009,121.97
Slovak Republic,2008,127.911
Slovak Republic,2007,126.76
Slovak Republic,2006,121.732
Slovak Republic,2005,122.414
Slovak Republic,2004,131.569
Slovak Republic,2003,139.216
Slovak Republic,2002,140.409
Slovak Republic,2011,124.994
Slovak Republic,2010,123.295
Slovak Republic,1998,132.529
Slovak Republic,1997,129.722
Switzerland,2001,423.113891
Switzerland,2000,417.546392
Switzerland,1999,407.435208
Switzerland,2023,768.519878
Switzerland,2022,747.852041
Switzerland,2021,738.233491
Switzerland,2020,719.128289
Switzerland,2019,709.487587
Switzerland,2018,698.202358
Switzerland,2017,682.545313
Switzerland,2016,666.062978
Switzerland,2015,637.901627
Switzerland,2014,610.153528
Switzerland,2013,595.029366
Switzerland,2012,577.388923
Switzerland,1996,380.187682
Switzerland,1995,369.329157
Switzerland,2009,517.543437
Switzerland,2008,502.089597
Switzerland,2007,485.468134
Switzerland,2006,477.741774
Switzerland,2005,467.486372
Switzerland,2004,454.744158
Switzerland,2003,446.603727
Switzerland,2002,431.469266
Switzerland,2011,553.628567
Switzerland,2010,528.621356
Switzerland,1998,402.383863
Switzerland,1997,392.553
Portugal,2001,289.111
Portugal,2000,284.304
Portugal,1999,276.186
Portugal,2022,436.367
Portugal,2021,430.949
Portugal,2020,416.032
Portugal,2019,405.637
Portugal,2018,400.202
Portugal,2017,391.007
Portugal,2016,378.949
Portugal,2015,365.364
Portugal,2014,358.629
Portugal,2013,350.998
Portugal,2012,349.58
Portugal,1996,248.366
Portugal,1995,241.618
Portugal,2009,340.864
Portugal,2008,330.56
Portugal,2007,319.798
Portugal,2006,317.086
Portugal,2005,314.919
Portugal,2004,308.395
Portugal,2003,303.442
Portugal,2002,301.958
Portugal,2011,350.157
Portugal,2010,343.673
Portugal,1998,260.63
Portugal,1997,250.786
Belgium,2001,415.8
Belgium,2000,400.9
Belgium,1999,385.8
Belgium,2022,674.1
Belgium,2021,664.8
Belgium,2020,657.4
Belgium,2019,647.9
Belgium,2018,633.8
Belgium,2017,621.6
Belgium,2016,605.2
Belgium,2015,590.4
Belgium,2014,577.8
Belgium,2013,567.7
Belgium,2012,558.5
Belgium,1996,351.8
Belgium,1995,343.8
Belgium,2009,510.6
Belgium,2008,495.3
Belgium,2007,483.5
Belgium,2006,472.1
Belgium,2005,461.4
Belgium,2004,448.5
Belgium,2003,437.8
Belgium,2002,426.5
Belgium,2011,545.9
Belgium,2010,529
Belgium,1998,373.1
Belgium,1997,364.8
United States,2006,17416
United States,2005,16912
United States,2004,16661
United States,2022,21517
United States,2021,21203
United States,2020,20738
United States,2019,21701
United States,2018,21132
United States,2017,20718
United States,2001,15311
United States,2000,14933
United States,2014,19576
United States,2013,19562
United States,2012,19407
United States,2011,18903
United States,2010,18908
