Reference area,TIME_PERIOD,OBS_VALUE
Chile,2000,7
Chile,2001,7.097
Chile,2002,7.208
Chile,2003,7.25
Chile,2004,6.91
Chile,2005,6.624
Chile,2006,6.072
Chile,2007,6.213
Chile,2008,6.74
Chile,2009,7.858
Chile,2010,6.82
Chile,2011,6.799
Chile,2012,7.02
Chile,2013,7.476
Chile,2014,7.842
Chile,2015,8.351
Chile,2016,8.558
Chile,2017,9.091
Chile,2018,9.226
Chile,2019,9.363
Chile,2020,9.727
Chile,2021,9.343
Chile,2022,9.002
Bulgaria,2003,7.2
Bulgaria,2004,6.891
Bulgaria,2005,6.89
Bulgaria,2006,6.525
Bulgaria,2007,6.157
Bulgaria,2008,6.283
Bulgaria,2009,6.596
Bulgaria,2010,7.096
Bulgaria,2011,7.103
Bulgaria,2012,7.539
Bulgaria,2013,7.143
Bulgaria,2014,7.683
Bulgaria,2015,7.391
Bulgaria,2016,7.457
Bulgaria,2017,7.492
Bulgaria,2018,7.329
Bulgaria,2019,7.089
Bulgaria,2020,8.478
Bulgaria,2021,8.556
United Kingdom,2000,7.093
United Kingdom,2001,7.413
United Kingdom,2002,7.821
United Kingdom,2003,7.988
United Kingdom,2004,8.253
United Kingdom,2005,8.315
United Kingdom,2006,8.475
United Kingdom,2007,8.67
United Kingdom,2008,8.968
United Kingdom,2009,9.77
United Kingdom,2010,9.705
United Kingdom,2011,9.724
United Kingdom,2012,9.814
United Kingdom,2013,9.873
United Kingdom,2014,9.862
United Kingdom,2015,9.798
United Kingdom,2016,9.729
United Kingdom,2017,9.596
United Kingdom,2018,9.731
United Kingdom,2019,9.958
United Kingdom,2020,12.159
United Kingdom,2021,12.365
United Kingdom,2022,11.345
Colombia,2000,5.635
Colombia,2001,5.942
Colombia,2002,5.733
Colombia,2003,5.775
Colombia,2004,5.799
Colombia,2005,6.067
Colombia,2006,6.336
Colombia,2007,6.491
Colombia,2008,6.842
Colombia,2009,7.311
Colombia,2010,7.071
Colombia,2011,6.781
Colombia,2012,6.746
Colombia,2013,7.017
Colombia,2014,7.186
Colombia,2015,7.523
Colombia,2016,7.531
Colombia,2017,7.679
Colombia,2018,7.625
Colombia,2019,7.78
Colombia,2020,8.714
Colombia,2021,9.018
Colombia,2022,8.068
Costa Rica,2000,6.565
Costa Rica,2001,6.474
Costa Rica,2002,6.869
Costa Rica,2003,6.969
