Reference area,Health status,TIME_PERIOD,OBS_VALUE
Chile,Bad/very bad health,2000,4.9
Chile,Bad/very bad health,2006,4.6
Chile,Bad/very bad health,2009,6.2
Chile,Bad/very bad health,2013,5.6
Chile,Bad/very bad health,2015,7.3
Chile,Bad/very bad health,2017,6.6
Chile,Bad/very bad health,2021,6.8
Estonia,Bad/very bad health,2004,15.2
Estonia,Bad/very bad health,2005,16.3
Estonia,Bad/very bad health,2006,15.1
Estonia,Bad/very bad health,2007,14.8
Estonia,Bad/very bad health,2008,14.8
Estonia,Bad/very bad health,2009,14.1
Estonia,Bad/very bad health,2010,14.9
Estonia,Bad/very bad health,2011,16.3
Estonia,Bad/very bad health,2012,16.3
Estonia,Bad/very bad health,2013,15.6
Estonia,Bad/very bad health,2014,16.5
Estonia,Bad/very bad health,2015,15.7
Estonia,Bad/very bad health,2016,14.4
Estonia,Bad/very bad health,2017,14.6
Estonia,Bad/very bad health,2018,14.7
Estonia,Bad/very bad health,2019,13.3
Estonia,Bad/very bad health,2020,11.4
Estonia,Bad/very bad health,2021,12.1
Estonia,Bad/very bad health,2022,13
Canada,Good/very good health,2001,87.6
Canada,Good/very good health,2003,88.2
Canada,Good/very good health,2005,88.4
Canada,Good/very good health,2007,88.2
Canada,Good/very good health,2008,88.1
Canada,Good/very good health,2009,88.5
Canada,Good/very good health,2010,88.1
Canada,Good/very good health,2011,88.2
Canada,Good/very good health,2012,88.8
Canada,Good/very good health,2013,88.7
Canada,Good/very good health,2014,88.1
Canada,Good/very good health,2015,89
Canada,Good/very good health,2016,88.4
Canada,Good/very good health,2017,88.5
Canada,Good/very good health,2018,88.6
Canada,Good/very good health,2019,88.8
Canada,Good/very good health,2020,89
Canada,Good/very good health,2021,88.3
Greece,Bad/very bad health,2004,8.9
Greece,Bad/very bad health,2005,8.9
Greece,Bad/very bad health,2006,9.2
Greece,Bad/very bad health,2007,8.8
Greece,Bad/very bad health,2008,9.4
Greece,Bad/very bad health,2009,9.7
Greece,Bad/very bad health,2010,9.7
Greece,Bad/very bad health,2011,9
Greece,Bad/very bad health,2012,9.3
Greece,Bad/very bad health,2013,10.5
Greece,Bad/very bad health,2014,10.8
Greece,Bad/very bad health,2015,10
Greece,Bad/very bad health,2016,10.4
Greece,Bad/very bad health,2017,10.4
Greece,Bad/very bad health,2018,9.3
Greece,Bad/very bad health,2019,6.6
Greece,Bad/very bad health,2020,6.8
Greece,Bad/very bad health,2021,6.5
Greece,Bad/very bad health,2022,7.5
United Kingdom,"Fair (not good, not bad) health",2005,18
United Kingdom,"Fair (not good, not bad) health",2006,16.9
United Kingdom,"Fair (not good, not bad) health",2007,16.4
United Kingdom,"Fair (not good, not bad) health",2008,15.6
United Kingdom,"Fair (not good, not bad) health",2009,15.9
United Kingdom,"Fair (not good, not bad) health",2010,14.8
United Kingdom,"Fair (not good, not bad) health",2011,16.8
United Kingdom,"Fair (not good, not bad) health",2012,17.1
United Kingdom,"Fair (not good, not bad) health",2013,18
United Kingdom,"Fair (not good, not bad) health",2014,21.1
United Kingdom,"Fair (not good, not bad) health",2015,21.6
United Kingdom,"Fair (not good, not bad) health",2016,22.2
United Kingdom,"Fair (not good, not bad) health",2017,18.1
United Kingdom,"Fair (not good, not bad) health",2018,19.4
United Kingdom,"Fair (not good, not bad) health",2019,19.7
Slovenia,"Fair (not good, not bad) health",2005,30.2
Slovenia,"Fair (not good, not bad) health",2006,27.9
Slovenia,"Fair (not good, not bad) health",2007,27.7
Slovenia,"Fair (not good, not bad) health",2008,27
Slovenia,"Fair (not good, not bad) health",2009,27
Slovenia,"Fair (not good, not bad) health",2010,27.1
Slovenia,"Fair (not good, not bad) health",2011,26.3
Slovenia,"Fair (not good, not bad) health",2012,24.4
Slovenia,"Fair (not good, not bad) health",2013,24.5
Slovenia,"Fair (not good, not bad) health",2014,24.2
Slovenia,"Fair (not good, not bad) health",2015,23.6
Slovenia,"Fair (not good, not bad) health",2016,25.6
Slovenia,"Fair (not good, not bad) health",2017,25
Slovenia,"Fair (not good, not bad) health",2018,24.9
Slovenia,"Fair (not good, not bad) health",2019,23.7
Slovenia,"Fair (not good, not bad) health",2020,23.4
Slovenia,"Fair (not good, not bad) health",2021,22.6
Slovenia,"Fair (not good, not bad) health",2022,25.4
Australia,Bad/very bad health,2001,4.8
Australia,Bad/very bad health,2004,4.5
Australia,Bad/very bad health,2007,4.1
Australia,Bad/very bad health,2011,4
Australia,Bad/very bad health,2014,4.4
Australia,Bad/very bad health,2017,3.7
France,Bad/very bad health,2004,10.7
France,Bad/very bad health,2005,10
France,Bad/very bad health,2006,9.6
France,Bad/very bad health,2007,8.9
France,Bad/very bad health,2008,8.4
France,Bad/very bad health,2009,9
France,Bad/very bad health,2010,8.9
France,Bad/very bad health,2011,8.8
France,Bad/very bad health,2012,8.5
France,Bad/very bad health,2013,8.7
France,Bad/very bad health,2014,8.3
France,Bad/very bad health,2015,7.8
France,Bad/very bad health,2016,8.1
France,Bad/very bad health,2017,8.3
France,Bad/very bad health,2018,8.4
France,Bad/very bad health,2019,8.9
France,Bad/very bad health,2020,9.1
France,Bad/very bad health,2021,8.9
France,Bad/very bad health,2022,10
Italy,Good/very good health,2000,57.7
Italy,Good/very good health,2001,60.6
Italy,Good/very good health,2002,59.6
Italy,Good/very good health,2003,59.8
Italy,Good/very good health,2004,57.4
Italy,Good/very good health,2005,58.1
Italy,Good/very good health,2006,56.8
Italy,Good/very good health,2007,63.4
Italy,Good/very good health,2008,63.4
Italy,Good/very good health,2009,63.5
Italy,Good/very good health,2010,66.4
Italy,Good/very good health,2011,64.5
Italy,Good/very good health,2012,68
Italy,Good/very good health,2013,66.2
Italy,Good/very good health,2014,67.9
Italy,Good/very good health,2015,65.6
Italy,Good/very good health,2016,70.9
Italy,Good/very good health,2017,77
Italy,Good/very good health,2018,73.3
Italy,Good/very good health,2019,72.8
Italy,Good/very good health,2021,73.5
Italy,Good/very good health,2022,72.9
Finland,Good/very good health,2004,69.1
Finland,Good/very good health,2005,68.5
Finland,Good/very good health,2006,68.7
Finland,Good/very good health,2007,68.3
Finland,Good/very good health,2008,68.6
Finland,Good/very good health,2009,68.9
Finland,Good/very good health,2010,68.3
Finland,Good/very good health,2011,68.8
Finland,Good/very good health,2012,67.1
Finland,Good/very good health,2013,64.6
Finland,Good/very good health,2014,69.2
Finland,Good/very good health,2015,69.8
Finland,Good/very good health,2016,70.2
Finland,Good/very good health,2017,70.1
Finland,Good/very good health,2018,68.8
Finland,Good/very good health,2019,68.3
Finland,Good/very good health,2020,69.9
Finland,Good/very good health,2021,70.1
Finland,Good/very good health,2022,64.3
Colombia,"Fair (not good, not bad) health",2018,18.2
Colombia,"Fair (not good, not bad) health",2019,18.3
Hungary,"Fair (not good, not bad) health",2005,32.7
Hungary,"Fair (not good, not bad) health",2006,31.6
Hungary,"Fair (not good, not bad) health",2007,31.3
Hungary,"Fair (not good, not bad) health",2008,25.6
Hungary,"Fair (not good, not bad) health",2009,26.5
Hungary,"Fair (not good, not bad) health",2010,28.4
Hungary,"Fair (not good, not bad) health",2011,28
Hungary,"Fair (not good, not bad) health",2012,26.6
Hungary,"Fair (not good, not bad) health",2013,28
Hungary,"Fair (not good, not bad) health",2014,27.3
Hungary,"Fair (not good, not bad) health",2015,27.9
Hungary,"Fair (not good, not bad) health",2016,27.2
Hungary,"Fair (not good, not bad) health",2017,27.9
Hungary,"Fair (not good, not bad) health",2018,27.6
Hungary,"Fair (not good, not bad) health",2019,30
Hungary,"Fair (not good, not bad) health",2020,28.1
Hungary,"Fair (not good, not bad) health",2021,27.1
Hungary,"Fair (not good, not bad) health",2022,27
Lithuania,Good/very good health,2005,42.4
Lithuania,Good/very good health,2006,43.3
Lithuania,Good/very good health,2007,48.5
Lithuania,Good/very good health,2008,46.5
Lithuania,Good/very good health,2009,48
Lithuania,Good/very good health,2010,50.2
Lithuania,Good/very good health,2011,43.9
Lithuania,Good/very good health,2012,44.3
Lithuania,Good/very good health,2013,46.1
Lithuania,Good/very good health,2014,44.9
Lithuania,Good/very good health,2015,42.6
Lithuania,Good/very good health,2016,43.2
Lithuania,Good/very good health,2017,43.7
Lithuania,Good/very good health,2018,44
Lithuania,Good/very good health,2019,46.1
Lithuania,Good/very good health,2020,44.3
Lithuania,Good/very good health,2021,47.8
Lithuania,Good/very good health,2022,48.1
Switzerland,Good/very good health,2007,84
Switzerland,Good/very good health,2008,81.3
Switzerland,Good/very good health,2009,80.9
Switzerland,Good/very good health,2010,81.5
Switzerland,Good/very good health,2011,81.2
Switzerland,Good/very good health,2012,81.9
Switzerland,Good/very good health,2013,80.7
Switzerland,Good/very good health,2014,78.5
Switzerland,Good/very good health,2015,79.7
Switzerland,Good/very good health,2016,77.6
Switzerland,Good/very good health,2017,80.2
Switzerland,Good/very good health,2018,80.7
Switzerland,Good/very good health,2019,81.2
Switzerland,Good/very good health,2020,83.3
Switzerland,Good/very good health,2021,81.9
Germany,Good/very good health,2005,60.1
Germany,Good/very good health,2006,60.5
Germany,Good/very good health,2007,59.8
Germany,Good/very good health,2008,64.5
Germany,Good/very good health,2009,65.2
Germany,Good/very good health,2010,65.2
Germany,Good/very good health,2011,64.8
Germany,Good/very good health,2012,65.4
Germany,Good/very good health,2013,64.9
Germany,Good/very good health,2014,65.2
Germany,Good/very good health,2015,64.5
Germany,Good/very good health,2016,65.2
Germany,Good/very good health,2017,65.4
Germany,Good/very good health,2018,65.5
Germany,Good/very good health,2019,65.5
Germany,Good/very good health,2020,63.8
Germany,Good/very good health,2021,63
