Reference area,TIME_PERIOD,OBS_VALUE
Greece,2018,9140.15
Greece,2017,9176.925
Greece,2003,9234.525
Greece,2002,9188.375
Greece,2001,9156.075
Greece,2000,8839.875
Greece,1999,8764.575
Greece,1998,8680.275
Greece,2016,9212.8
Greece,2015,9246.55
Greece,2014,9282.1
Greece,2013,9309.5
Greece,2012,9344.8
Greece,2011,9372.85
Greece,2010,9399.4
Greece,2009,9431.1
Greece,2008,9435.125
Greece,2007,9412.325
Greece,2006,9374.1
Greece,2005,9332.3
Greece,2004,9285.325
Greece,2023,9037
Greece,2022,9050.15
Greece,2021,9065.35
Greece,2020,9078.95
France,2023,54781.85
France,2022,54427.5
France,2008,49492.2
France,2007,49235.88
France,2006,48922.18
France,2005,48551.7
France,2004,48129.7
France,2003,47733.2
France,2021,53885.88
France,2020,53811.05
France,2019,53599.65
France,2018,53395.35
France,2017,53177.65
France,2016,52942.1
France,2015,52665.48
France,2014,52401.35
France,2013,50720.88
France,2012,50438.27
France,2011,50207.4
France,2010,49963.18
Poland,2020,30270.53
Poland,2019,30282.57
Poland,2005,31257.75
Poland,2004,31122.72
Poland,2003,30952.28
Poland,2002,31040.35
Poland,2001,30786.7
Poland,2000,30596.9
Poland,2018,30429.28
Poland,2017,30594.45
Poland,2016,30702.75
Poland,2015,30962.1
Poland,2014,30984.32
Poland,2013,31036.35
Poland,2012,31037.68
Poland,2011,31002.53
Poland,2010,30955.03
Poland,2009,31460.38
Poland,2008,31372.43
Poland,2007,31392.05
Poland,2006,31365.18
Poland,2023,30161.3
Poland,2022,30013.6
Luxembourg,2023,545.075
Luxembourg,2022,531.175
Luxembourg,2008,380.55
Luxembourg,2007,378.125
Luxembourg,2006,372.8
Luxembourg,2005,364.8
Luxembourg,2004,361
Luxembourg,2003,358.5
Luxembourg,2021,522.9
Luxembourg,2020,515.8
Luxembourg,2019,505.025
Luxembourg,2018,495
Luxembourg,2017,485.1
Luxembourg,2016,471.9
Luxembourg,2015,459.9
Luxembourg,2014,434.225
Luxembourg,2013,426.875
Luxembourg,2012,423.6
Luxembourg,2011,410.425
Luxembourg,2010,400.15
Austria,2019,7430.175
Austria,2018,7396.65
Austria,2004,6715.375
Austria,2003,6665.975
Austria,2002,6556.725
Austria,2001,6616
Austria,2000,6584.25
Austria,1999,6524.55
Austria,2017,7364.25
Austria,2016,7336.175
Austria,2015,7246.2
Austria,2014,7179.525
Austria,2013,7117.575
Austria,2012,7065.75
Austria,2011,7019.825
Austria,2010,6987.375
Austria,2009,6956.9
Austria,2008,6923.45
Austria,2007,6880.5
Austria,2006,6834
Austria,2005,6781.075
Austria,2023,7656.175
Austria,2022,7578.575
Austria,2021,7504.65
Iceland,2004,199.2
Iceland,2003,197.125
Iceland,2023,304.275
Iceland,2022,293.125
Iceland,2021,285.175
Iceland,2020,260.575
Iceland,2019,256.425
Iceland,2018,249.075
Iceland,2017,240.5
Iceland,2016,234.25
Iceland,2015,230.45
Iceland,2014,227.325
Iceland,2013,226.9
Iceland,2012,223.6
Iceland,2011,223.75
Iceland,2010,223.1
Iceland,2009,223.075
Iceland,2008,222.725
Iceland,2007,217.275
Iceland,2006,209.45
G7,2012,604303.4
G7,2011,599270.8
G7,2010,596410.9
G7,2009,594423.3
G7,2008,591054.8
G7,2007,587379.1
G7,2006,582496.7
G7,2005,577853.6
G7,2023,642433.7
G7,2022,637467.3
G7,2021,633480.4
G7,2020,632796.6
G7,2019,630496.9
G7,2018,628332.8
G7,2017,624650.3
G7,2016,622029.8
G7,2015,617814.9
G7,2014,613381.6
Denmark,2019,4857.2
Denmark,2018,4829.55
Denmark,2004,4388.575
Denmark,2003,4369.35
Denmark,2002,4356.65
Denmark,2001,4351.65
Denmark,2000,4340.675
Denmark,1999,4333.075
Denmark,2017,4798.175
Denmark,2016,4762.325
Denmark,2015,4714.05
Denmark,2014,4672.2
Denmark,2013,4634.475
Denmark,2012,4603.475
Denmark,2011,4573.6
Denmark,2010,4543.325
Denmark,2009,4511.425
Denmark,2008,4476.5
Denmark,2007,4435.125
Denmark,2006,4427.475
Denmark,2005,4405.325
Denmark,2023,4995.25
Denmark,2022,4944.5
Denmark,2021,4897.65
Sweden,2021,8412
Sweden,2020,8338.25
Sweden,2006,7523.4
Sweden,2005,7456.15
Sweden,2004,7393.7
Sweden,2003,7349.1
Sweden,2002,7305.825
Sweden,2001,7263.6
Sweden,2019,8311.85
Sweden,2018,8263.225
Sweden,2017,8205.825
Sweden,2016,8125.775
Sweden,2015,8060.45
Sweden,2014,8008.625
Sweden,2013,7959.125
Sweden,2012,7917.875
Sweden,2011,7876.7
Sweden,2010,7821.2
Sweden,2009,7754.3
Sweden,2008,7661.5
Sweden,2007,7597.8
Sweden,2023,8543.475
Türkiye,2013,55595.75
Türkiye,2012,54721.32
Türkiye,2011,53587.68
Türkiye,2010,52539.02
